isbn_10,orig_title,orig_publication_yr,language_code
1451666179,,2013,eng
812513738,The Shadow Rising ,1992,eng
192076920X,Shantaram,2003,eng
441015891,From Dead to Worse,2008,eng
670032565,The Waste Lands,1991,eng
451188454,The Bone Collector,1997,eng
375408266,Der Vorleser,1995,eng
805047905,"Brown Bear, Brown Bear, What Do You See?",1967,eng
553283685,Hyperion,1989,eng
142000698,The Pearl of the World,1947,eng
61007226,The Exorcist,1971,eng
031612558X,The Short Second Life of Bree Tanner,2009,eng
067976402X,Snow Falling on Cedars,1994,eng
440174643,Roots,1976,eng
930289455,Batman: The Killing Joke ,1988,eng
679732764,Invisible Man,1952,eng
374105235,A Long Way Gone. Memoirs of a Boy Soldier,2007,eng
689862202,Mrs. Frisby and the Rats of NIMH,1971,eng
751514624,Different Seasons,1982,eng
60529962,The Little House Collection,1953,eng
143035479,The Girls' Guide to Hunting and Fishing,1998,eng
380813815,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",2002,eng
1577314808,The Power of Now,1997,eng
399159010,Let's Pretend This Never Happened (A Mostly True Memoir),2012,eng
64471837,Sabriel,1995,eng
441017150,Dead and Gone,2009,eng
1439102767,The Storyteller,2013,eng
1620610078,Obsidian,2011,eng
345418905,"Life, the Universe and Everything",1982,eng
1619630621,Crown of Midnight,2013,eng
1932664084,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",2004,eng
1416586288,Half Broke Horses: A True Life Novel,2008,eng
61020680,Mort,1987,eng
373210086,"The Iron King (The Iron Fey, #1) ",2010,eng
067168390X,Lonesome Dove,1985,eng
393324826,Stiff: The Curious Lives of Human Cadavers,2003,eng
1595143173,Bloodlines,2011,eng
765342405,Ender's Shadow,1998,eng
385342020,Twenties Girl,2009,eng
340606517,Schindler's Ark,1982,eng
452287065,The Bluest Eye,1970,eng
1416563687,The White Queen,2009,eng
345350685,The Autobiography of Malcolm X,1965,eng
1563892278,Preludes & Nocturnes,1989,eng
345465083,Seabiscuit,1999,eng
038073186X,Shutter Island,2003,eng
553328255,The Complete Sherlock Holmes,1894,eng
198320272,The Tragedy of Julius Caesar,1599,eng
307408841,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",2011,eng
140449140,Πολιτεία,-380,eng
074347757X,The Taming of the Shrew,1593,eng
312642970,Cress,2014,eng
006621131X,Just Kids,2010,eng
714836257,,1997,eng
767905180,Jemima J,2001,eng
451527887,Notre-Dame de Paris,1831,eng
140003065X,A Fine Balance,1996,eng
836220889,Calvin and Hobbes,1987,eng
689865406,Specials,2006,eng
543898083,The Awakening,1899,eng
031237982X,Hunted,2009,eng
1401303277,For One More Day,2006,eng
425144372,Clear and Present Danger,1989,eng
60513098,Falling Up,1996,eng
61992704,Sh*t My Dad Says,2010,eng
2020336464,Trainspotting,1993,fre
553803727,Foundation and Empire,1952,eng
1878424505,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1997,eng
743296435,House Rules,2010,eng
394709306,Brüder Grimm: Kinder- und Hausmärchen,1812,eng
744583276,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1967,eng
1476727651,Doctor Sleep,2013,eng
140285679,About a Boy,1998,eng
1434768511,Crazy Love: Overwhelmed by a Relentless God,2008,eng
7173687,"One Fish, Two Fish, Red Fish, Blue Fish",1960,eng
553213873,The Story of My Life,1902,eng
052595127X,This Is Where I Leave You,2009,eng
446563080,Abraham Lincoln: Vampire Hunter,2010,eng
1591826039,フルーツバスケット 1,1999,eng
743482832,The Tempest,1623,eng
1905654944,Burned: A House of Night Novel,2010,eng
340829788,Wizard and Glass,1997,eng
385351399,The Circle,2013,eng
439813786,The Invention of Hugo Cabret,2007,eng
60776099,Brave New World/Brave New World Revisited,1932,eng
1591169151,桜蘭高校ホスト部 1,2003,eng
778316556,The Good Girl,2014,eng
1250049377,Landline,2014,eng
1905654588,Tempted,2008,eng
375706674,No Country for Old Men,2005,eng
006441034X,Howl's Moving Castle,1986,eng
2226131906,Dreamcatcher,2001,fre
691096120,Walden; or Life in the Woods,1854,eng
571225381,The Remains of the Day,1989,eng
446547654,The Best of Me,2010,eng
224094157,The Sense of an Ending,2011,eng
312938993,A is for Alibi,1982,eng
1580495931,Οἰδίπους Τύραννος,-430,eng
1400067111,Shanghai Girls,2009,eng
143039091,The Wind in the Willows,1908,eng
037571457X,Persepolis,2000,eng
1420925431,A Room with a View,1908,eng
316084239,The DUFF: Designated Ugly Fat Friend,2010,eng
067001088X,Lock and Key,2008,eng
399151575,Naked in Death,1995,eng
385339666,The Chamber,1994,eng
1569319006,NARUTO -ナルト- 巻ノ一 ,1999,eng
812993292,The Unlikely Pilgrimage of Harold Fry,2012,eng
307931889,Every Day,2012,eng
312861877,Xenocide,1991,eng
743477561,The Merchant of Venice,1596,eng
440178002,Shōgun,1975,eng
451219368,"Lover Awakened (Black Dagger Brotherhood, #3)",2006,eng
1619634449,A Court of Thorns and Roses,2015,eng
345803574,,2012,eng
068983568X,Chicka Chicka Boom Boom,1989,eng
545132053,Smile,2009,eng
151010269, Animal Farm & 1984,1950,eng
140286276,The Deep End of the Ocean,1996,eng
345457374,The Bonesetter's Daughter,2001,eng
60288140,"Angus, Thongs and Full-Frontal Snogging",1999,eng
374214913,Mr. Penumbra's 24-Hour Bookstore,2012,eng
743496310,Flowers in the Attic,1979,eng
590452037,Maniac Magee,1990,eng
743482778,"Twelfth Night; or, What You Will",1601,eng
385732562,Gathering Blue,2000,eng
014240120X,The Westing Game,1978,eng
345539788,Red Rising,2014,eng
316033677,The Way of Shadows,2008,eng
812474945,The Bean Trees,1988,eng
1476712980,Walking Disaster,2013,eng
765326361,Words of Radiance,2014,eng
076360013X,Guess How Much I Love You,1988,eng
440221668,The Fiery Cross,2001,eng
450042685,Night Shift,1978,eng
1400064562,Jaws,1974,eng
393328627,The History of Love,2005,eng
142402494,Pippi Långstrump,1945,eng
1933372605,L'élégance du hérisson,2006,eng
743270754,Team of Rivals: The Political Genius of Abraham Lincoln,2005,eng
441018645,Dead in the Family,2010,eng
679720219,La peste,1947,eng
439206480,The Reptile Room,1999,eng
145162137X,Brain on Fire,2012,eng
61214655,Wicked Lovely ,2007,eng
039515023X,Curious George,1941,eng
525457585,Die unendliche Geschichte,1979,eng
571212921,A Beautiful Mind,1998,eng
1884365302,The Jungle,1906,eng
61662690,The Summoning,2008,eng
684853949,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,1985,eng
006074815X,Storm Island,1978,eng
1860498809,The Blind Assassin,2000,eng
1594747350,Hollow City,2014,eng
356500152,The Girl with All the Gifts,2014,eng
067973225X,As I Lay Dying,1930,eng
747532036,Harold and the Purple Crayon,1955,eng
553803735,,1953,eng
451458125,Fool Moon ,2001,eng
316204366,David and Goliath,2011,eng
1591169208,鋼の錬金術師 1,2002,eng
61020648,Guards! Guards!,1989,eng
1400078431,The Year of Magical Thinking,2005,eng
006112429X,We Need to Talk About Kevin,2003,eng
1857231589,Rendezvous with Rama,1973,eng
345419626,The Queen of the Damned,1988,eng
159308143X,The Age of Innocence,1920,eng
199291152,The Selfish Gene,1976,eng
142001430,Year of Wonders: A Novel of the Plague,2001,eng
446612731,The Black Echo,1992,eng
452281253,Anthem,1938,eng
1936305623,Gabriel's Inferno,2011,eng
689707495,Cloudy with a Chance of Meatballs,1978,eng
1400068932,Major Pettigrew's Last Stand,2010,eng
425227510,Vision in White,2009,eng
074349671X,The Tenth Circle,2006,eng
1423140567,The Throne of Fire,2011,eng
831727527,Gerald's Game,1992,eng
140255559,Two for the Dough,1996,eng
684818701,The Joy of Cooking,1931,eng
60510862,The Forever War,1974,eng
8497597729,Insomnia,1994,spa
812971060,Reading Lolita in Tehran: A Memoir in Books,2003,eng
575079797,The Blade Itself,2006,eng
786851473,The Arctic Incident,2002,eng
743225422,The Shipping News,1993,eng
1607747308,人生がときめく片づけの魔法,2011,eng
385755880,All the Bright Places,2015,eng
671011367,Déjà Dead,1997,eng
552562521,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,2007,eng
374203059,The Marriage Plot,2011,eng
61120251,Hija de la fortuna,1998,eng
689865198,"Crank (Crank, #1)",2004,eng
545424925,The Raven Boys,2012,eng
031286504X,I Am Legend and Other Stories,1954,eng
140006208X,Olive Kitteridge,2008,eng
66620996,Good to Great: Why Some Companies Make the Leap... and Others Don't,2001,eng
803734611,Fire,2009,eng
439236193,White Fang,1906,eng
141651693X,Wolves of the Calla,2003,eng
440238609,His Dark Materials,2000,eng
1480095532,The Edge of Never,2012,eng
006222543X,Reconstructing Amelia,2013,eng
312305060,The Hours,1998,eng
1623420024,Wallbanger,2012,eng
316191299,Holidays on Ice,1997,eng
451188462,Desperation,1996,eng
385739168,Passion,2011,eng
385742886,The Kill Order,2012,eng
144477851X,Angelfall,2011,eng
375726403,Empire Falls,2001,eng
1857232097,The Fires of Heaven,1993,eng
803734964,I'll Give You the Sun,2014,eng
385338708,Shopaholic and Baby,2007,eng
1416524525,The Dark Tower,2004,eng
316070521,Twilight Director's Notebook,2009,eng
440241812,Shopaholic Abroad,2001,eng
545123283,Linger,2010,eng
553609416,The Complete Anne of Green Gables Boxed Set,1908,eng
142437344,A Portrait of the Artist as a Young Man,1916,eng
765302306,The Gathering Storm,2009,eng
451529170,Middlemarch,1871,eng
385339100,The Partner,1997,eng
345538374,The Hobbit and The Lord of the Rings,1973,eng
146109111X,Thoughtless,2009,eng
446350982,Presumed Innocent,1986,sv
045052468X,The Dark Half,1989,eng
316001929,Cleopatra: A Life,2006,eng
374292795,The World Is Flat: A Brief History of the Twenty-first Century,2005,eng
385743564,Steelheart,2013,eng
1558580093,,1995,eng
553213970,Voyage au centre de la Terre,1864,eng
61583251,The Happiness Project,2009,eng
679740678,The Man in the High Castle,1962,eng
393322238,Helter Skelter: The True Story of The Manson Murders,1974,eng
812970063,Inferno,1320,eng
670023485,Shadow of Night,2012,eng
345544927,Leaving Time,2014,eng
441013813,Moon Called,2006,eng
786838922,Blue Bloods,2006,eng
812993543,Between the World and Me,2015,eng
140424393,Paradise Lost,1667,eng
393072231,The Big Short: Inside the Doomsday Machine,2009,eng
1416524290,The Girl Who Loved Tom Gordon,1999,eng
765325942,Towers of Midnight,2010,eng
553266306,The Day of the Jackal,1971,eng
307463745,Rework,2010,eng
525951989,Attachments,2011,eng
739352350,The Twilight Saga,2005,eng
679644199,Tell the Wolves I'm Home,2012,eng
312966091,Three to Get Deadly,1997,eng
1576469239,The Scarlet Pimpernel,1905,eng
037582913X,The Monster at the End of This Book,1971,eng
425193799,Tales of a Fourth Grade Nothing,1972,eng
805094598,Shadow and Bone,2012,eng
399256776,Champion,2013,eng
2266079999,Contact,1985,eng
525423281,Lola and the Boy Next Door,2011,eng
375703861,White Teeth,1999,eng
62107062,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,2012,eng
1582346186,My Horizontal Life: A Collection of One-Night Stands,2004,eng
61974552,The Power of Six,2011,eng
1594488398,The Interestings,2013,eng
836218051,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,1988,eng
067001821X,People of the Book,2008,eng
1439152802,The Secret Keeper,2012,eng
330491237,"So Long, and Thanks for All the Fish",1984,eng
140282580,Der Steppenwolf: Erzählung,1927,eng
055381706X,The Surgeon,2001,eng
6480101,Royal Assassin,1996,eng
345347951,Childhood's End,1953,eng
763625299, The Tale of Despereaux,2004,eng
60852550,"Animal, Vegetable, Miracle: A Year of Food Life",2007,eng
1619630656,Heir of Fire,2014,eng
812513754,,1994,eng
785263705,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,2003,eng
385340397,A Breath of Snow and Ashes,2005,eng
1484724917,The Blood of Olympus,2014,eng
1250069793,Truly Madly Guilty,2016,eng
1607066017,"Saga, Volume One",2012,eng
316126691,The Art of Fielding,2011,eng
99285045,A Moveable Feast,1964,eng
1590385810,Fablehaven,2006,eng
64407683,The Wide Window,2000,eng
451458443,Grave Peril,2001,eng
743264738,Einstein. His Life and Universe,2007,eng
1476717486,Effortless,2011,eng
385339097,The Street Lawyer,1998,eng
014034893X,"Roll of Thunder, Hear My Cry",1976,eng
1594743347,Pride and Prejudice and Zombies,2009,eng
316154695,Lets Explore Diabetes with Owls,2013,eng
679642420,Идиот,1868,eng
671746723,Dirk Gently's Holistic Detective Agency,1987,eng
810994739,Rodrick Rules,2008,eng
804138141,Why Not Me?,2015,eng
62285688,Four: A Divergent Collection,2014,eng
1594206279,Modern Romance,2015,eng
61992259,The One and Only Ivan,2012,eng
393050327,The Perfect Storm: A True Story of Men Against the Sea,1997,eng
765350378,Elantris,2005,eng
312199430,One Thousand White Women: The Journals of May Dodd,1998,eng
743296419,Handle with Care,2009,eng
1416521496,Song of Susannah,2004,eng
525423664,Reached,2012,eng
99578514,Midnight's Children,1981,eng
1400049628,The Zombie Survival Guide: Complete Protection from the Living Dead,2004,eng
440234743,The Testament,1999,eng
1579126251,Murder at the Vicarage,1930,eng
1416924981,Among the Hidden ,1998,eng
1594201455,In Defense of Food: An Eater's Manifesto,2007,eng
440995779,The Witch of Blackbird Pond,1958,eng
440241898,Shopaholic Ties the Knot,2002,eng
141439610,The Woman in White,1859,eng
1416968237,The Summer I Turned Pretty,2009,eng
312966970,Four to Score ,1998,eng
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,1996,eng
60889578,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",2009,eng
385339151,Darkfever,2006,eng
312857063,Stone of Tears,1995,eng
312554168,Heart of the Matter,2010,eng
141439831,Vanity Fair: A Novel Without a Hero,1847,eng
1857988841,The Sirens of Titan,1959,eng
2266047426,Dolores Claiborne,1992,fre
62414216,The Nest,2016,eng
1563899426,"Fables, Volume 1: Legends in Exile",2001,eng
142000280,Getting Things Done: How To Achieve Stress-free Productivity,2001,eng
446671002,The Celestine Prophecy,1993,eng
803736991,My Life Next Door ,2012,eng
525952926,Winter of the World,2012,eng
033041836X,Lucky,1999,eng
140679239X,To The Lighthouse ,1927,eng
8129104598,Five Point Someone: What Not to Do at IIT,2004,eng
425197549,Guilty Pleasures,1993,eng
375836675,The Messenger,2002,eng
141439653,Far from the Madding Crowd,1874,eng
60855908,Equal Rites,1987,eng
038560310X,House of Leaves,2000,eng
312650248,Awakened,2011,eng
1583485090,My Ántonia,1918,eng
152061548,Life As We Knew It,2006,eng
713998946,America (The Book): A Citizen's Guide to Democracy Inaction,2004,eng
800759494,90 Minutes in Heaven,2004,eng
1455520659,The Longest Ride,2012,eng
679776192,道德經 [dào dé jīng],-300,eng
312995059,Kane and Abel,1979,eng
743496744,Change of Heart,2008,eng
312423799,Dry: A Memoir,2003,eng
446613347,Sam's Letters To Jennifer,2001,eng
1101946342,Grey,2015,eng
1416528636,Little Earthquakes,2004,eng
517092913,Eventyr og historier,1835,eng
316075809,New Moon: The Complete Illustrated Movie Companion,2009,eng
767905202,Mr Maybe,1999,eng
553213172,Anne of the Island,1915,eng
140047484,Also sprach Zarathustra,1883,eng
140620192,North and South,1854,eng
1451629184,A Stolen Life,2011,eng
752224417,The Lost World,1995,eng
62014536,Requiem,2013,eng
812550285,A Crown of Swords,1996,eng
192840509,Aesopica,-560,eng
679728759,Blood Meridian: Or the Evening Redness in the West,1985,eng
1442426675,Finale,2012,eng
751504386,Skeleton Crew,1985,eng
99437961,Lullaby,2002,it
8129115301,Two States,2009,eng
1421508222,ヴァンパイア騎士 1,2005,eng
451458923,Summer Knight,2002,eng
345484266,Dragonflight,1968,eng
014100018X,Chocolat,1998,eng
553116606,The Amityville Horror,1977,eng
771068719,The English Patient,1992,eng
1936305550,Gabriel's Rapture,2012,eng
192839993,Dubliners,1914,eng
1400063736,Let the Great World Spin,2009,eng
141321318,The Eternity Code,2003,eng
440236703,Tell No One,2001,eng
1423121309,Hex Hall,2010,eng
761169253,Steal Like an Artist,2010,eng
60512806,Cryptonomicon,1999,eng
1476730105,Beautiful Bastard,2013,eng
60959037,Prodigal Summer,2000,eng
452282829,We Were the Mulvaneys,1996,eng
006097625X,Understanding Comics: The Invisible Art,1993,eng
316077054,Beautiful Darkness,2010,eng
1594485755,The Psychopath Test,2011,eng
743454553,Vanishing Acts,2005,eng
330419641,Absolute Power,1995,eng
312976275,Hot Six,2000,eng
1401322786,The Time Keeper,2012,eng
60590270,A Dirty Job,2006,eng
393324818,Moneyball: The Art of Winning an Unfair Game,2003,eng
078681859X,The Amulet of Samarkand,2003,eng
446580503,I Am America (And So Can You!),2007,eng
688014291,The One Minute Manager,1981,eng
553258478,Exodus,1958,eng
068484477X,Stones from the River,1994,eng
394758285,The Big Sleep,1939,eng
014200068X,Cannery Row ,1945,eng
446585025,Seriously...I'm Kidding,2011,eng
439272637,The Miserable Mill,2000,eng
810970686,The Last Straw,2009,eng
679433139,La Divina Commedia,1308,eng
1405204265,The Tao of Pooh,1982,eng
1620610116,Onyx,2012,eng
62085530,"Unravel Me (Shatter Me, #2)",2013,eng
812968972,The Birth of Venus,2003,eng
385354282,Det som inte dödar oss,2015,eng
081299860X,The Girls,2016,eng
1582349908,The Goose Girl,2003,eng
60584750,Mystic River,2001,eng
99549344,Warm Bodies,2010,de
451528352,The Prince and the Pauper,1881,eng
340837942,The Moon is a Harsh Mistress,1966,eng
670021458,The Forty Rules of Love,2010,eng
330371231,High Five,1999,eng
1781162646,Joyland,2013,eng
1612620248,進撃の巨人 1,2010,eng
068480154X,Tender Is the Night,1933,eng
811214044,The Glass Menagerie,1945,eng
1609450787,L'amica geniale,2011,eng
307353133,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",2007,eng
62515675,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,1996,eng
670022691,Rules of Civility,2011,eng
575077026,Ringworld,1970,eng
399254129,Between Shades of Gray,2011,eng
689818769,Frindle,1996,eng
810983915,Dog Days,2009,eng
62065246,The Round House,2012,eng
006223742X,Free Four: Tobias Tells the Divergent Story,2012,eng
385539258,A Little Life,2015,eng
1563899809,"Y: The Last Man, Vol. 1: Unmanned",2003,eng
765330423,The Alloy of Law,2011,eng
345452003,The Accidental Tourist,1985,eng
1442408928,Aristotle and Dante Discover the Secrets of the Universe,2012,eng
451528522,The Invisible Man,1897,eng
61122092,Na margem do rio Piedra eu sentei e chorei,1994,eng
1402726023,Der Schweizerische Robinson,1812,eng
450542882,Four Past Midnight,1990,eng
1937044963,The Marriage Bargain,2012,eng
553213148,Anne of Avonlea,1909,eng
448405202,The Little Engine That Could,1930,eng
399162097,We Are All Completely Beside Ourselves,2013,eng
765304740,Children of the Mind,1996,eng
679722769,Ulysses,1922,eng
142401773,Someone Like You,1998,eng
312304358,Moloka'i,2003,eng
99471426,The Witching Hour,1990,eng
1581345283,This Present Darkness,1986,eng
1594634475,Fates and Furies,2015,eng
440243750,Summer Sisters,1998,eng
64400565,Stuart Little,1945,eng
380508567,The Foundation Trilogy,1953,eng
64408639,The Austere Academy,2000,eng
312980140,Seven Up,2001,eng
61662763,The Awakening,2009,eng
451459407,Death Masks,2003,eng
152802177,Stellaluna,1993,eng
575077883,Before They Are Hanged,2007,eng
345494997,Loving Frank,2007,eng
312983867,Hard Eight,2002,eng
60566221,The Vile Village,2001,eng
446359408,Sybil,1973,eng
375508325,Cosmos,1980,eng
1400032822,Haunted: A Novel of Stories,2005,eng
051722285X,The Shell Seekers,1987,eng
1932416641,What Is the What: The Autobiography of Valentino Achak Deng,2006,eng
140003471X,Crónica de una muerte anunciada,1981,eng
582416396,A Scandal in Bohemia,1891,eng
805093079,Killing Lincoln: The Shocking Assassination that Changed America Forever,2011,eng
307265749,The Lowland,2013,eng
142406635,The Ruins of Gorlan,2004,eng
067001110X,Wintergirls,2009,eng
385339674,The Brethren,2000,eng
553565699,Assassin's Quest,1997,eng
451194004,Rosemary's Baby,1967,eng
375507779,The Talisman,1984,eng
812550293,The Path of Daggers,1998,eng
140042520,The Dharma Bums,1958,eng
1841497126,The Reckoning,2010,eng
1400067553,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",2012,eng
152058109,Mary Poppins,1934,eng
679734775,The House on Mango Street,1984,eng
670018708,City of Thieves,2008,eng
61245089,Halfway to the Grave,2007,eng
141318309,The Twits,1980,eng
60278250,Abhorsen,2003,eng
446612545,The Beach House,2002,eng
751504572,Eyes of the Dragon,1987,eng
441104029,Children of Dune,1976,eng
1841499889,Leviathan Wakes,2011,eng
1619636042,Queen of Shadows,2015,eng
679729771,Maus II : And Here My Troubles Began ,1991,eng
140501827,The Snowy Day,1962,eng
747267634,To the Nines,2003,eng
312554192,Where We Belong,2012,eng
385495226,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,1994,eng
99448475,スプートニクの恋人 [Supūtoniku no Koibito],1999,eng
670024856,The Signature of All Things,2012,eng
1592402038,"Eats, Shoots and Leaves",2003,eng
60572965,Dead Witch Walking,2004,eng
399231900,,1986,eng
752898477,An Echo in the Bone,2009,eng
61996165,Unearthly,2011,eng
310226058,The Case for Christ,1988,eng
812577566,Knife of Dreams,2005,eng
440421705,Hoot,2002,eng
679729526,Æneis,-17,eng
1594487367,This is How You Lose Her,2012,eng
307265838,アフターダーク [Afutā dāku],2004,eng
1416995552,It's Not Summer Without You,2010,eng
373210493,Pushing the Limits,2012,eng
439321611,Quidditch Through the Ages,2001,eng
395401461,Miss Nelson Is Missing!,1977,eng
451196716,The Long Walk,1979,eng
60566213,The Ersatz Elevator,2001,eng
385732538,Messenger ,2004,eng
451412354,Lover Revealed,2007,eng
385516487,'Salem's Lot The Illustrated Edition,2005,eng
446579807,God is Not Great: How Religion Poisons Everything,2007,eng
1301627445,"Never Too Far (Too Far, #2)",2013,eng
61015733,State of Fear,2004,eng
316122386,The Statistical Probability of Love at First Sight,2012,eng
786836547,The Golem's Eye,2004,eng
184243022X,Still Life with Woodpecker,1980,eng
156031663,Those Who Save Us,2004,eng
385340540,The Broker,2005,eng
1595143971,Across the Universe,2011,eng
671250671,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",1978,eng
451459873,Blood Rites,2004,eng
807508527,The Boxcar Children,1942,eng
143123238,The Silent Wife,2013,eng
91940737,How to Be a Woman,2011,eng
297854399,Life,2010,eng
676979343,Unaccustomed Earth,2008,eng
316601950,The Pilot's Wife,1998,eng
140283307,White Noise,1985,eng
743464117,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",1992,eng
785819118,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,1859,eng
1891830430,Blankets,2003,eng
61374229,The Story of Edgar Sawtelle,2008,eng
345439104,Drowning Ruth,2000,eng
679744398,All the Pretty Horses,1992,eng
1593082045,"Sherlock Holmes: The Complete Novels and Stories, Vol 2",1914,eng
1569319014,"One Piece, Volume 01",1997,eng
451450523,The Last Unicorn,1968,eng
60577312,Magyk,2005,eng
689848919,Fever 1793,2000,eng
307408868,Dead Wake: The Last Crossing of the Lusitania,2015,eng
812504690,The Jungle Book,1894,eng
1439177724,I Am Pilgrim,2013,eng
872863107,Howl and Other Poems ,1956,eng
073380084X,Don't Sweat the Small Stuff,1997,eng
345418778,Mostly Harmless,1992,eng
074325807X,Benjamin Franklin: An American Life,2003,eng
385343833,The Tiger's Wife,2011,eng
778324338,Poison Study,2005,eng
451222350,Lover Unbound,2007,eng
60502932,Going Postal,2004,eng
967686563,The Book of Mormon,1830,eng
451223292,The Mist,1980,eng
045146091X,Dead Beat,2005,eng
345539826,Golden Son,2015,eng
055215430X,Night Watch,2002,eng
61020702,The Light Fantastic,1986,eng
316078573,What the Dog Saw and Other Adventures,2009,eng
62430874,Pretty Girls,2015,eng
575077905,Last Argument of Kings,2008,eng
1476770387,Revival,2014,eng
679800034,Horton Hears a Who!,1954,eng
393330478,The Blind Side: Evolution of a Game,2006,eng
60590165,Lirael,2001,eng
316155594,School's Out Forever,2006,eng
316080845,黒執事 I [Kuroshitsuji I],2007,eng
312642989,Winter,2015,eng
141439734,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,1886,eng
545457823,,2012,eng
345503805,The Painted Man,2008,eng
486426750,,1678,eng
440241022,One Shot,2005,eng
1423140575,The Serpent's Shadow,2012,eng
1416552510,Duma Key,2008,eng
330448447,The Shifting Fog,2006,eng
081257558X,,2000,eng
451461037,Proven Guilty,2006,eng
451529553,Записки из подполья,1864,eng
618084746,The Heart is a Lonely Hunter,1940,eng
441627404,The Once and Future King,1958,eng
552152978,Small Gods,1992,eng
385323069,"Bud, Not Buddy",1999,eng
618477942,,2006,eng
006135323X,Predictably Irrational: The Hidden Forces that Shape Our Decisions,2007,eng
7148984,The Indian in the Cupboard,1980,eng
765325950,A Memory of Light,2012,eng
1419701762,Me and Earl and the Dying Girl,2012,eng
810984911,The Ugly Truth,2010,eng
312990227,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",2002,eng
60839783,"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",1998,eng
446696633,2nd Chance,2002,eng
141014083,The Complete Maus,1986,eng
142001805,The Eyre Affair,2001,eng
345373944,Anne Rice's The Vampire Lestat: The Graphic Novel,1989,eng
747571775,,1978,eng
1573221112,The Art of Happiness: A Handbook for Living,1998,eng
1400065674,The Bone Clocks,2014,eng
385333137,Black and Blue,1998,eng
62003933,,2010,eng
385339682,The Last Juror,2004,eng
1400032814,Diary,2003,eng
312985347,Eleven on Top,2005,eng
439554004,Tintenblut,2005,eng
743236017,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",2003,eng
316926345,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,1945,eng
451461401,White Night,2007,eng
62306812,The Miniaturist,2014,eng
786915749,Dragons of Autumn Twilight,1984,eng
786849568,The Lost Colony,2006,eng
1416951172,Extras,2006,eng
399244557,The Burning Bridge,2005,eng
670025593,The Book of Life,2014,eng
1585421464,The Artist's Way: A Spiritual Path to Higher Creativity,1992,eng
067084487X,The Stinky Cheese Man and Other Fairly Stupid Tales,1992,eng
61147958,Horns,2009,eng
679456724,Catherine the Great: Portrait of a Woman,2011,eng
385528779,The Year of the Flood,2009,eng
312364121,Winter Garden,2009,eng
385339658,The King of Torts,2003,eng
316067598,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,2006,eng
1579126278,The Murder of Roger Ackroyd,1926,eng
006083756X,Native Son ,1940,eng
316033650,Shadow's Edge,2008,eng
1907411054,Under the Never Sky,2011,eng
044669651X,True Believer,2003,eng
307887898,The Lean Startup‎,2011,eng
1595143181,The Golden Lily,2012,eng
743290119,Chasing Harry Winston,2008,eng
345335457,Magician's Gambit,1983,eng
785136207,,2009,eng
671728687,The Rise and Fall of the Third Reich: A History of Nazi Germany,1960,eng
1594481938,A Long Way Down,2005,eng
439706408,Out from Boneville,1993,eng
340640146,Rose Madder,1995,eng
515142247,"Die Trying (Jack Reacher, #2)",1998,eng
316123528,Beautiful Chaos,2011,eng
60878061,Keeping Faith,1999,eng
61147931,Heart-Shaped Box,2007,eng
1419702238,Cabin Fever,2010,eng
316033669,,2008,eng
1416543007,Everyone Worth Knowing,2005,eng
1862301387,Redwall,1986,eng
140447571,Manifest der Kommunistischen Partei,1848,eng
1501132938,The Woman in Cabin 10,2016,eng
553213296,The Last of the Mohicans: A Narrative of 1757,1826,eng
679736379,Sophie's Choice,1979,eng
044024191X,Shopaholic and Sister,2004,eng
373210132,The Iron Daughter,2010,eng
1576737330,The Prayer of Jabez:  Breaking Through to the Blessed Life,2000,eng
812983602,The Age of Miracles,2012,eng
786868724,Have a Little Faith: A True Story,2009,eng
1400043468,My Life in France,2006,eng
